P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category
E-MEC-04-006,Baniyani,Jhapa,Eastern,0.0,0.007000000000000001,0.05017103762827824,0.16200000000000003,0.0,0.0,0.0,Lowest
W-LUM-46-069,Rupakot,Gulmi,Western,0.0,0.004,0.6351197263397947,0.333,0.47434119278779474,0.01639344262295082,0.01604,Lowest
W-DHA-45-032,Kandebas,Baglung,Western,0.0,0.003,0.8129988597491449,0.476,0.680998613037448,0.012295081967213115,0.013270000000000002,Lowest
E-MEC-02-033,Ranitar,Panchthar,Eastern,0.0,0.007000000000000001,0.3340935005701254,0.524,0.4230235783633841,0.0,0.0,Lowest
W-LUM-47-059,Siluwa,Palpa,Western,0.001,0.005000000000000001,0.4732041049030787,0.266,0.32871012482662965,0.02868852459016394,0.029570000000000003,Low
W-DHA-43-038,Singa,Myagdi,Western,0.0,0.003,0.03762827822120868,0.269,0.06657420249653256,0.010245901639344263,0.009460000000000001,Lowest
C-BAG-28-012,Chaturale,Nuwakot,Central,0.11599999999999999,0.003,0.540478905359179,0.585,0.5908460471567267,0.125,0.12486,Medium-High
W-GAN-39-031,Kyakmi,Syangja,Western,0.002,0.006,0.45952109464082097,0.488,0.47434119278779474,0.03278688524590164,0.03344,Low
W-LUM-49-059,Saljhundi,Rupandehi,Western,0.001,0.011000000000000001,0.7571265678449259,0.29500000000000004,0.521497919556172,0.036885245901639344,0.03713,Low
W-DHA-43-006,Bhakilmi,Myagdi,Western,0.0,0.003,0.03762827822120868,0.269,0.06657420249653256,0.010245901639344263,0.00997,Lowest
E-MEC-01-049,Tiringe,Taplejung,Eastern,0.0,0.002,0.33637400228050174,0.303,0.27184466019417475,0.006147540983606557,0.006180000000000001,Lowest
C-BAG-27-011,Chhaimale,Kathmandu,Central,0.309,0.004,0.8768529076396807,0.18200000000000002,0.5159500693481275,0.18237704918032788,0.18325000000000002,High
E-SAG-16-105,Tenuwapatti,Siraha,Eastern,0.004,0.004,0.21550741163055875,0.797,0.5409153952843272,0.045081967213114756,0.04518,Low
E-SAG-15-087,Odraha,Saptari,Eastern,0.002,0.005000000000000001,0.0,0.667,0.319001386962552,0.02868852459016394,0.02868,Low
W-LUM-49-071,Tikuligadh,Rupandehi,Western,0.003,0.014000000000000002,0.7571265678449259,0.29500000000000004,0.521497919556172,0.05532786885245902,0.05444,Low
E-KOS-09-016,MadiRambeni,Sankhuwasabha,Eastern,0.0,0.005000000000000001,0.23261117445838086,0.523,0.36061026352288483,0.01434426229508197,0.015010000000000003,Lowest
E-MEC-03-028,Mangalbare,Ilam,Eastern,0.0,0.007000000000000001,0.1459521094640821,0.319,0.1664355062413314,0.0,0.0,Lowest
M-BHE-61-008,Garkhakot,Jajarkot,Mid-Western,0.0,0.006,0.8757126567844926,0.8460000000000001,0.9750346740638002,0.00819672131147541,0.009210000000000001,Lowest
E-KOS-08-030,Sungnam,Terhathum,Eastern,0.0,0.004,0.3888255416191562,0.504,0.44244105409153944,0.010245901639344263,0.01094,Lowest
C-JAN-22-006,Bhusedanda,Dolakha,Central,0.09000000000000001,0.002,0.7251995438996579,0.5860000000000001,0.7045769764216366,0.10245901639344263,0.10356000000000001,Medium-Low
E-KOS-05-033,Kathamaha,Morang,Eastern,0.001,0.008,0.44811858608893956,0.877,0.7364771151178917,0.034836065573770496,0.0348,Low
F-SET-70-044,Saraswotinagar,Doti,Far-Western,0.0,0.003,0.8665906499429874,0.8260000000000001,0.9570041608876559,0.0,0.0,Lowest
W-LUM-46-010,Aslewa,Gulmi,Western,0.0,0.003,0.6351197263397947,0.333,0.47434119278779474,0.01434426229508197,0.014280000000000001,Lowest
F-SET-69-035,Kalagaun,Achham,Far-Western,0.0,0.003,0.830102622576967,0.9210000000000002,0.9999999999999999,0.0,0.0,Lowest
C-BAG-24-041,KavreNitya Chandeswor,Kavrepalanchok,Central,0.23900000000000002,0.005000000000000001,0.6031927023945267,0.331,0.4521497919556171,0.1721311475409836,0.17200000000000001,Medium-High
C-NAR-34-060,ParsauniMatha,Parsa,Central,0.010000000000000002,0.006,0.41961231470923605,0.6070000000000001,0.5325936199722607,0.06557377049180328,0.06568,Medium-Low
M-KAR-65-004,Gumtha,Mugu,Mid-Western,0.0,0.003,0.43671607753705816,0.447,0.4327323162274619,0.004098360655737705,0.00485,Lowest
C-BAG-24-011,BoldeFediche,Kavrepalanchok,Central,0.149,0.002,0.6031927023945267,0.331,0.4521497919556171,0.10860655737704919,0.10942000000000002,Medium-High
M-BHE-57-019,Kamdi,Banke,Mid-Western,0.0,0.010000000000000002,0.6191562143671607,0.8170000000000001,0.8002773925104022,0.020491803278688527,0.020180000000000003,Lowest
W-DHA-42-008,Kagbeni,Mustang,Western,0.0,0.001,0.8882554161915621,0.36800000000000005,0.651872399445215,0.010245901639344263,0.011020000000000002,Lowest
F-MAH-75-041,Uku,Darchula,Far-Western,0.0,0.004,0.9646522234891677,0.505,0.7933425797503467,0.0,0.0,Lowest
